Category,Cluster_Number,Color,Customer ID,Discount Applied,Frequency of Purchases,Gender,Item Purchased,Location,Payment Method,Preferred Payment Method,Promo Code Used,Season,Shipping Type,Size,Subscription Status,Age,Previous Purchases,Purchase Amount (USD),Review Rating
Clothing,Cluster 3,Olive,950,Yes,Monthly,Male,Jeans,Montana,Cash,Venmo,Yes,Summer,Standard,M,Yes,33,49,36,3.4
Accessories,Cluster 4,Turquoise,951,Yes,Quarterly,Male,Backpack,New Mexico,Cash,PayPal,Yes,Winter,Free Shipping,XL,Yes,54,30,37,4.1
Clothing,Cluster 3,Cyan,952,Yes,Monthly,Male,Dress,Alaska,Venmo,Bank Transfer,Yes,Summer,Express,M,Yes,47,34,51,2.9
Accessories,Cluster 4,Red,953,Yes,Monthly,Male,Hat,Idaho,Bank Transfer,PayPal,Yes,Fall,2-Day Shipping,S,Yes,36,28,71,3.1
Accessories,Cluster 4,Cyan,954,Yes,Quarterly,Male,Sunglasses,Utah,Credit Card,Venmo,Yes,Spring,2-Day Shipping,S,Yes,68,36,50,3.6
Accessories,Cluster 4,Turquoise,955,Yes,Every 3 Months,Male,Hat,Louisiana,Venmo,Credit Card,Yes,Fall,Standard,S,Yes,60,18,74,3.5
Clothing,Cluster 3,Lavender,956,Yes,Monthly,Male,Dress,Mississippi,Venmo,PayPal,Yes,Summer,Free Shipping,L,Yes,55,4,75,3.4
Clothing,Cluster 3,Cyan,957,Yes,Quarterly,Male,Shirt,Mississippi,Venmo,Debit Card,Yes,Spring,2-Day Shipping,XL,Yes,29,42,99,2.9
Accessories,Cluster 4,Violet,958,Yes,Quarterly,Male,Scarf,Indiana,Bank Transfer,Cash,Yes,Spring,Store Pickup,XL,Yes,38,11,23,4.7
Footwear,Cluster 1,Beige,959,Yes,Bi-Weekly,Male,Sneakers,Washington,Cash,Credit Card,Yes,Winter,Free Shipping,XL,Yes,70,31,53,4.4
Clothing,Cluster 3,Cyan,960,Yes,Fortnightly,Male,Skirt,Nevada,Cash,Cash,Yes,Spring,Standard,M,Yes,36,12,99,2.6
Accessories,Cluster 4,Indigo,961,Yes,Quarterly,Male,Jewelry,Louisiana,Debit Card,Venmo,Yes,Spring,Standard,XL,Yes,18,20,48,4.4
Footwear,Cluster 1,Olive,962,Yes,Quarterly,Male,Boots,Pennsylvania,Venmo,Debit Card,Yes,Fall,Next Day Air,L,Yes,62,37,72,3.7
Accessories,Cluster 4,Green,963,Yes,Fortnightly,Male,Sunglasses,Michigan,Cash,Debit Card,Yes,Spring,Standard,L,Yes,29,26,64,4.4
Footwear,Cluster 1,Green,964,Yes,Weekly,Male,Boots,South Carolina,Cash,Credit Card,Yes,Spring,2-Day Shipping,L,Yes,21,14,63,2.5
Footwear,Cluster 1,Beige,965,Yes,Bi-Weekly,Male,Sandals,Arizona,Bank Transfer,Venmo,Yes,Spring,Next Day Air,M,Yes,42,12,51,2.6
Footwear,Cluster 1,Black,966,Yes,Annually,Male,Boots,Delaware,Debit Card,Credit Card,Yes,Spring,Store Pickup,L,Yes,43,10,55,5
Clothing,Cluster 3,Brown,967,Yes,Annually,Male,Dress,Kentucky,Cash,Cash,Yes,Spring,Express,M,Yes,58,19,55,4.9
Clothing,Cluster 3,Silver,968,Yes,Weekly,Male,Hoodie,Georgia,Debit Card,Cash,Yes,Summer,Store Pickup,S,Yes,27,4,26,3.7
Clothing,Cluster 3,Gray,969,Yes,Quarterly,Male,Shorts,North Carolina,Debit Card,Bank Transfer,Yes,Summer,Next Day Air,L,Yes,57,48,67,3.1
Outerwear,Cluster 2,Pink,970,Yes,Monthly,Male,Coat,California,Debit Card,PayPal,Yes,Fall,Express,S,Yes,40,37,31,3.2
Clothing,Cluster 3,Maroon,971,Yes,Monthly,Male,Jeans,California,PayPal,Cash,Yes,Winter,Free Shipping,S,Yes,45,4,66,4.4
Accessories,Cluster 4,Cyan,972,Yes,Weekly,Male,Sunglasses,Indiana,Bank Transfer,Credit Card,Yes,Summer,Next Day Air,M,Yes,47,15,67,4.3
Footwear,Cluster 1,Gold,973,Yes,Weekly,Male,Sneakers,Colorado,Venmo,Credit Card,Yes,Winter,Standard,L,Yes,61,33,61,3
Outerwear,Cluster 2,Teal,974,Yes,Quarterly,Male,Jacket,Colorado,Venmo,Bank Transfer,Yes,Fall,2-Day Shipping,M,Yes,60,30,75,3.5
Clothing,Cluster 3,Beige,975,Yes,Monthly,Male,Skirt,North Carolina,Credit Card,Bank Transfer,Yes,Spring,2-Day Shipping,M,Yes,69,23,90,3.6
Clothing,Cluster 3,Olive,976,Yes,Weekly,Male,Sweater,Washington,Bank Transfer,Bank Transfer,Yes,Summer,2-Day Shipping,M,Yes,58,2,40,3.8
Clothing,Cluster 3,Gray,977,Yes,Every 3 Months,Male,T-shirt,Florida,PayPal,Credit Card,Yes,Fall,Express,M,Yes,34,50,90,3.6
Accessories,Cluster 4,Black,978,Yes,Bi-Weekly,Male,Belt,Washington,Credit Card,Cash,Yes,Spring,Express,M,Yes,20,34,20,4.6
Accessories,Cluster 4,Turquoise,979,Yes,Weekly,Male,Gloves,Colorado,Cash,Credit Card,Yes,Summer,Standard,M,Yes,56,33,40,2.5
Accessories,Cluster 4,Brown,980,Yes,Monthly,Male,Hat,New Hampshire,Venmo,Debit Card,Yes,Fall,Store Pickup,S,Yes,64,34,33,3.5
Footwear,Cluster 1,Magenta,981,Yes,Every 3 Months,Male,Boots,Maryland,Bank Transfer,PayPal,Yes,Spring,Free Shipping,S,Yes,56,39,98,4
Accessories,Cluster 4,Silver,982,Yes,Quarterly,Male,Belt,Maryland,Debit Card,Credit Card,Yes,Spring,Next Day Air,M,Yes,27,47,42,3.5
Outerwear,Cluster 2,Red,983,Yes,Monthly,Male,Coat,Texas,Venmo,PayPal,Yes,Summer,Standard,S,Yes,35,37,62,3.2
Accessories,Cluster 4,Indigo,984,Yes,Bi-Weekly,Male,Hat,New Mexico,Credit Card,Venmo,Yes,Winter,Free Shipping,L,Yes,24,40,45,3.5
Footwear,Cluster 1,Green,985,Yes,Bi-Weekly,Male,Shoes,Utah,Cash,Credit Card,Yes,Summer,Free Shipping,M,Yes,26,8,78,3.4
Accessories,Cluster 4,Gray,986,Yes,Annually,Male,Handbag,West Virginia,Credit Card,Bank Transfer,Yes,Fall,Express,M,Yes,32,12,80,5
Accessories,Cluster 4,Peach,987,Yes,Monthly,Male,Scarf,Connecticut,Credit Card,Bank Transfer,Yes,Spring,Store Pickup,S,Yes,54,36,96,4.5
Accessories,Cluster 4,Charcoal,988,Yes,Weekly,Male,Handbag,West Virginia,PayPal,PayPal,Yes,Summer,Express,M,Yes,62,48,47,2.8
Clothing,Cluster 3,Orange,989,Yes,Fortnightly,Male,Pants,Ohio,Venmo,PayPal,Yes,Winter,2-Day Shipping,M,Yes,50,47,84,4.9
Footwear,Cluster 1,Beige,990,Yes,Monthly,Male,Shoes,Texas,Bank Transfer,Bank Transfer,Yes,Spring,Store Pickup,M,Yes,70,2,31,3.1
Accessories,Cluster 4,Yellow,991,Yes,Weekly,Male,Sunglasses,Washington,PayPal,Cash,Yes,Spring,Store Pickup,S,Yes,48,24,63,4.8
Clothing,Cluster 3,White,992,Yes,Bi-Weekly,Male,Shorts,Wisconsin,Debit Card,Bank Transfer,Yes,Spring,Standard,XL,Yes,20,40,97,2.7
Outerwear,Cluster 2,Gray,993,Yes,Weekly,Male,Jacket,Louisiana,Credit Card,Debit Card,Yes,Winter,Express,M,Yes,46,50,99,4.6
Footwear,Cluster 1,Peach,994,Yes,Weekly,Male,Sandals,Iowa,Cash,Cash,Yes,Winter,Store Pickup,M,Yes,51,25,90,4.4
Footwear,Cluster 1,Violet,995,Yes,Monthly,Male,Shoes,New York,PayPal,Debit Card,Yes,Fall,Express,L,Yes,53,20,68,3.2
Accessories,Cluster 4,Magenta,996,Yes,Weekly,Male,Jewelry,Idaho,Venmo,Venmo,Yes,Spring,2-Day Shipping,M,Yes,44,10,80,3
Footwear,Cluster 1,Maroon,997,Yes,Quarterly,Male,Sandals,Delaware,Bank Transfer,Bank Transfer,Yes,Summer,Standard,L,Yes,29,32,91,4.9
Clothing,Cluster 3,Cyan,998,Yes,Fortnightly,Male,Pants,Kentucky,Debit Card,Cash,Yes,Spring,Express,M,Yes,64,31,30,3.6
Footwear,Cluster 1,White,999,Yes,Bi-Weekly,Male,Shoes,Connecticut,Venmo,Bank Transfer,Yes,Spring,Next Day Air,M,Yes,51,48,90,3.8
Clothing,Cluster 3,Brown,1000,Yes,Monthly,Male,Socks,New Mexico,Venmo,Debit Card,Yes,Spring,Standard,L,Yes,50,23,28,2.9
Clothing,Cluster 3,Red,1001,Yes,Bi-Weekly,Male,Socks,Georgia,Credit Card,Bank Transfer,Yes,Winter,Express,M,Yes,43,1,46,3.9
Clothing,Cluster 3,Orange,1002,Yes,Fortnightly,Male,Dress,Washington,Credit Card,Debit Card,Yes,Fall,Standard,M,Yes,61,4,60,3.6
Footwear,Cluster 1,White,1003,Yes,Bi-Weekly,Male,Shoes,North Dakota,Credit Card,Bank Transfer,Yes,Spring,Store Pickup,M,Yes,55,3,59,3.5
Accessories,Cluster 4,Green,1004,Yes,Bi-Weekly,Male,Hat,Ohio,Cash,Cash,Yes,Fall,Store Pickup,M,Yes,56,3,68,4
Accessories,Cluster 4,Black,1005,Yes,Annually,Male,Backpack,Tennessee,Cash,Cash,Yes,Summer,2-Day Shipping,M,Yes,33,44,79,4.8
Accessories,Cluster 4,Gold,1006,Yes,Bi-Weekly,Male,Backpack,New York,Credit Card,Debit Card,Yes,Winter,Store Pickup,M,Yes,43,5,94,3.9
Clothing,Cluster 3,Lavender,1007,Yes,Quarterly,Male,Pants,Michigan,Credit Card,Venmo,Yes,Summer,Next Day Air,S,Yes,21,50,83,4.5
Accessories,Cluster 4,Turquoise,1008,Yes,Annually,Male,Gloves,Georgia,Venmo,Credit Card,Yes,Spring,Standard,XL,Yes,58,2,62,4.8
Accessories,Cluster 4,Pink,1009,Yes,Annually,Male,Scarf,New Mexico,Cash,PayPal,Yes,Spring,Store Pickup,M,Yes,41,29,85,2.6
Clothing,Cluster 3,Silver,1010,Yes,Annually,Male,Hoodie,Louisiana,Bank Transfer,Venmo,Yes,Summer,Express,M,Yes,39,11,30,3.1
Clothing,Cluster 3,Gray,1011,Yes,Fortnightly,Male,Jeans,South Dakota,PayPal,Credit Card,Yes,Spring,2-Day Shipping,XL,Yes,54,37,24,4.7
Accessories,Cluster 4,Indigo,1012,Yes,Fortnightly,Male,Backpack,Montana,PayPal,Debit Card,Yes,Spring,Next Day Air,L,Yes,43,32,25,2.9
Footwear,Cluster 1,Teal,1013,Yes,Annually,Male,Sandals,New Mexico,Cash,Credit Card,Yes,Summer,Express,L,Yes,28,27,37,3.8
Accessories,Cluster 4,Green,1014,Yes,Bi-Weekly,Male,Belt,South Carolina,Bank Transfer,Venmo,Yes,Summer,2-Day Shipping,XL,Yes,59,31,69,3.8
Footwear,Cluster 1,Violet,1015,Yes,Fortnightly,Male,Shoes,Ohio,Bank Transfer,Debit Card,Yes,Summer,Standard,M,Yes,28,36,97,3
Accessories,Cluster 4,Cyan,1016,Yes,Weekly,Male,Gloves,North Carolina,Debit Card,Cash,Yes,Summer,Standard,M,Yes,68,34,24,4.1
Accessories,Cluster 4,Blue,1017,Yes,Every 3 Months,Male,Belt,Idaho,Cash,Bank Transfer,Yes,Summer,Express,XL,Yes,20,15,30,3.4
Outerwear,Cluster 2,Orange,1018,Yes,Annually,Male,Jacket,Oklahoma,Cash,Credit Card,Yes,Fall,Express,L,Yes,21,14,53,2.5
Clothing,Cluster 3,Charcoal,1019,Yes,Weekly,Male,Dress,Georgia,Credit Card,Cash,Yes,Spring,Next Day Air,XL,Yes,50,46,70,4.9
Clothing,Cluster 3,Beige,1020,Yes,Bi-Weekly,Male,Shirt,Kentucky,Debit Card,Venmo,Yes,Winter,Standard,S,Yes,32,33,76,2.8
Accessories,Cluster 4,Black,1021,Yes,Annually,Male,Scarf,Delaware,Bank Transfer,Debit Card,Yes,Fall,Express,M,Yes,24,41,95,4.5
Outerwear,Cluster 2,Lavender,1022,Yes,Weekly,Male,Coat,Massachusetts,Credit Card,PayPal,Yes,Winter,2-Day Shipping,S,Yes,55,39,51,4.9
Accessories,Cluster 4,Lavender,1023,Yes,Annually,Male,Handbag,Nebraska,Cash,Cash,Yes,Winter,Store Pickup,M,Yes,61,7,41,4.9
Accessories,Cluster 4,Turquoise,1024,Yes,Every 3 Months,Male,Sunglasses,Maine,Bank Transfer,Bank Transfer,Yes,Winter,Free Shipping,S,Yes,61,29,71,3.5
Clothing,Cluster 3,Purple,1025,Yes,Quarterly,Male,T-shirt,Pennsylvania,Debit Card,Venmo,Yes,Summer,Free Shipping,M,Yes,28,18,66,3.5
Clothing,Cluster 3,Olive,1026,Yes,Annually,Male,Shirt,Nebraska,Bank Transfer,Credit Card,Yes,Winter,Free Shipping,M,Yes,60,15,84,4.9
Accessories,Cluster 4,Turquoise,1027,Yes,Bi-Weekly,Male,Handbag,Virginia,Venmo,PayPal,Yes,Winter,Express,L,Yes,49,39,95,3
Accessories,Cluster 4,Teal,1028,Yes,Monthly,Male,Jewelry,Ohio,Cash,Cash,Yes,Summer,Next Day Air,L,Yes,33,11,90,2.8
Clothing,Cluster 3,Lavender,1029,Yes,Fortnightly,Male,Hoodie,Nebraska,Venmo,Cash,Yes,Summer,Standard,S,Yes,45,4,36,3.7
Accessories,Cluster 4,Purple,1030,Yes,Bi-Weekly,Male,Gloves,Ohio,Credit Card,Venmo,Yes,Spring,2-Day Shipping,M,Yes,29,33,22,3.6
Outerwear,Cluster 2,Blue,1031,Yes,Quarterly,Male,Coat,Kentucky,Credit Card,Debit Card,Yes,Winter,Next Day Air,L,Yes,58,37,89,3.3
Footwear,Cluster 1,Teal,1032,Yes,Quarterly,Male,Sandals,Tennessee,Cash,Cash,Yes,Spring,Free Shipping,M,Yes,22,32,50,3.4
Footwear,Cluster 1,Lavender,1033,Yes,Quarterly,Male,Boots,Maine,Bank Transfer,Credit Card,Yes,Fall,Free Shipping,M,Yes,55,44,36,4
Clothing,Cluster 3,Silver,1034,Yes,Quarterly,Male,Pants,Montana,Credit Card,Bank Transfer,Yes,Spring,Free Shipping,S,Yes,19,41,52,4.6
Clothing,Cluster 3,Olive,1035,Yes,Weekly,Male,Socks,Maryland,Venmo,Bank Transfer,Yes,Fall,Next Day Air,M,Yes,68,44,29,4.2
Clothing,Cluster 3,Brown,1036,Yes,Annually,Male,Blouse,Georgia,Venmo,Venmo,Yes,Fall,Express,M,Yes,61,32,89,2.8
Accessories,Cluster 4,Yellow,1037,Yes,Monthly,Male,Handbag,Hawaii,Credit Card,Bank Transfer,Yes,Fall,2-Day Shipping,M,Yes,68,13,47,3.7
Accessories,Cluster 4,Brown,1038,Yes,Quarterly,Male,Jewelry,Rhode Island,Bank Transfer,Debit Card,Yes,Spring,Standard,XL,Yes,52,48,25,3.4
Clothing,Cluster 3,Cyan,1039,Yes,Weekly,Male,Pants,Nebraska,Bank Transfer,Bank Transfer,Yes,Fall,Express,XL,Yes,41,3,74,3
Accessories,Cluster 4,Magenta,1040,Yes,Monthly,Male,Belt,Michigan,PayPal,Venmo,Yes,Fall,Standard,M,Yes,29,39,46,4.8
Clothing,Cluster 3,Magenta,1041,Yes,Fortnightly,Male,Jeans,North Carolina,Venmo,Cash,Yes,Fall,Next Day Air,S,Yes,68,7,22,4
Clothing,Cluster 3,Orange,1042,Yes,Fortnightly,Male,Shirt,Minnesota,Venmo,Cash,Yes,Summer,Next Day Air,M,Yes,36,11,25,4.9
Accessories,Cluster 4,Maroon,1043,Yes,Weekly,Male,Belt,Maryland,Venmo,Credit Card,Yes,Spring,Next Day Air,M,Yes,55,47,80,4.9
Clothing,Cluster 3,Green,1044,Yes,Fortnightly,Male,Jeans,Hawaii,Bank Transfer,Debit Card,Yes,Spring,2-Day Shipping,M,Yes,28,28,76,3.3
Clothing,Cluster 3,Teal,1045,Yes,Every 3 Months,Male,Jeans,Oregon,Credit Card,Bank Transfer,Yes,Summer,Next Day Air,L,Yes,39,17,30,4.4
Clothing,Cluster 3,Black,1046,Yes,Bi-Weekly,Male,Sweater,New Mexico,Cash,PayPal,Yes,Fall,2-Day Shipping,L,Yes,54,11,79,3.5
Footwear,Cluster 1,Magenta,1047,Yes,Annually,Male,Sneakers,Illinois,Credit Card,Venmo,Yes,Winter,Standard,M,Yes,40,12,22,4.2
Clothing,Cluster 3,Olive,1048,Yes,Fortnightly,Male,Socks,Utah,Debit Card,Credit Card,Yes,Fall,Standard,S,Yes,31,7,36,4.2
Clothing,Cluster 3,Yellow,1049,Yes,Fortnightly,Male,Socks,Maine,Cash,Venmo,Yes,Fall,Standard,L,Yes,30,19,77,2.7
Accessories,Cluster 4,Purple,1050,Yes,Quarterly,Male,Sunglasses,Virginia,Credit Card,Cash,Yes,Fall,Store Pickup,S,Yes,45,24,33,2.8
Footwear,Cluster 1,Beige,1051,Yes,Monthly,Male,Sneakers,Florida,Credit Card,Venmo,Yes,Winter,Next Day Air,M,Yes,48,19,64,3.8
Clothing,Cluster 3,Indigo,1052,Yes,Annually,Male,Socks,Ohio,PayPal,PayPal,Yes,Fall,Free Shipping,M,Yes,45,39,53,2.6
Footwear,Cluster 1,Pink,1053,Yes,Fortnightly,Male,Shoes,Virginia,Venmo,Credit Card,Yes,Fall,2-Day Shipping,XL,Yes,60,1,36,3
Clothing,Cluster 3,Blue,1054,Yes,Bi-Weekly,Male,Blouse,Kansas,Cash,Debit Card,Yes,Spring,2-Day Shipping,M,No,59,10,70,3.3
Clothing,Cluster 3,Cyan,1055,Yes,Quarterly,Male,Shorts,Arkansas,Debit Card,PayPal,Yes,Winter,Express,L,No,18,48,96,4.9
Outerwear,Cluster 2,Orange,1056,Yes,Annually,Male,Jacket,Massachusetts,PayPal,Debit Card,Yes,Spring,Next Day Air,M,No,70,24,27,3.3
Clothing,Cluster 3,Black,1057,Yes,Fortnightly,Male,Sweater,Idaho,Debit Card,Venmo,Yes,Winter,2-Day Shipping,L,No,20,42,64,2.9
Outerwear,Cluster 2,Maroon,1058,Yes,Weekly,Male,Jacket,Wisconsin,Bank Transfer,Credit Card,Yes,Spring,2-Day Shipping,S,No,65,20,23,4.4
Accessories,Cluster 4,Violet,1059,Yes,Every 3 Months,Male,Scarf,New Mexico,Credit Card,Bank Transfer,Yes,Summer,Next Day Air,L,No,29,49,33,3.1
Outerwear,Cluster 2,Beige,1060,Yes,Monthly,Male,Jacket,North Carolina,Venmo,Debit Card,Yes,Winter,Standard,M,No,22,25,34,2.5
Clothing,Cluster 3,Gray,1061,Yes,Every 3 Months,Male,Sweater,Iowa,PayPal,Debit Card,Yes,Summer,Next Day Air,S,No,27,21,35,2.6
Outerwear,Cluster 2,Gray,1062,Yes,Every 3 Months,Male,Coat,Idaho,Debit Card,Venmo,Yes,Summer,Free Shipping,M,No,36,12,62,4.4
Footwear,Cluster 1,Brown,1063,Yes,Every 3 Months,Male,Boots,Ohio,Venmo,Debit Card,Yes,Fall,Next Day Air,M,No,59,21,75,2.6
Clothing,Cluster 3,Indigo,1064,Yes,Monthly,Male,Hoodie,Alabama,Bank Transfer,Cash,Yes,Summer,Free Shipping,S,No,62,35,29,3.3
Accessories,Cluster 4,Violet,1065,Yes,Every 3 Months,Male,Hat,Wyoming,Debit Card,Credit Card,Yes,Spring,Express,M,No,34,42,28,3.5
Clothing,Cluster 3,Blue,1066,Yes,Every 3 Months,Male,T-shirt,Alabama,Cash,PayPal,Yes,Spring,Store Pickup,XL,No,59,3,20,4.1
Outerwear,Cluster 2,Red,1067,Yes,Bi-Weekly,Male,Coat,Mississippi,Credit Card,PayPal,Yes,Winter,Store Pickup,M,No,49,11,96,4
Clothing,Cluster 3,Peach,1068,Yes,Quarterly,Male,Dress,Pennsylvania,Venmo,PayPal,Yes,Summer,2-Day Shipping,S,No,18,22,43,2.7
Clothing,Cluster 3,Olive,1069,Yes,Weekly,Male,Shirt,Wyoming,Bank Transfer,Credit Card,Yes,Fall,Standard,M,No,55,47,94,2.5
Clothing,Cluster 3,White,1070,Yes,Every 3 Months,Male,Skirt,Maryland,Credit Card,Venmo,Yes,Fall,Next Day Air,XL,No,38,33,81,4.3
Accessories,Cluster 4,Magenta,1071,Yes,Weekly,Male,Jewelry,North Carolina,Venmo,Debit Card,Yes,Summer,Free Shipping,M,No,50,50,75,3.3
Accessories,Cluster 4,Beige,1072,Yes,Monthly,Male,Hat,Pennsylvania,Cash,Credit Card,Yes,Summer,Express,M,No,61,46,81,2.6
Clothing,Cluster 3,Gold,1073,Yes,Fortnightly,Male,Shorts,Idaho,Bank Transfer,Debit Card,Yes,Fall,Express,L,No,48,34,92,3.5
Accessories,Cluster 4,Purple,1074,Yes,Monthly,Male,Scarf,California,Cash,Credit Card,Yes,Spring,Store Pickup,XL,No,22,33,96,4
Accessories,Cluster 4,White,1075,Yes,Fortnightly,Male,Jewelry,Tennessee,PayPal,Bank Transfer,Yes,Fall,Standard,S,No,48,45,71,2.6
Accessories,Cluster 4,Indigo,1076,Yes,Bi-Weekly,Male,Sunglasses,Missouri,Debit Card,Debit Card,Yes,Summer,Next Day Air,L,No,57,32,50,4.9
Outerwear,Cluster 2,Charcoal,1077,Yes,Bi-Weekly,Male,Coat,North Dakota,Bank Transfer,Venmo,Yes,Spring,Standard,L,No,33,47,72,2.9
Outerwear,Cluster 2,Pink,1078,Yes,Quarterly,Male,Jacket,West Virginia,Cash,PayPal,Yes,Winter,Standard,M,No,58,5,28,3.7
Clothing,Cluster 3,Silver,1079,Yes,Fortnightly,Male,Sweater,Arizona,Cash,Credit Card,Yes,Fall,Express,M,No,37,49,59,4.4
Outerwear,Cluster 2,Blue,1080,Yes,Monthly,Male,Coat,Oklahoma,Bank Transfer,Bank Transfer,Yes,Summer,Free Shipping,S,No,18,48,33,4.4
Accessories,Cluster 4,Blue,1081,Yes,Every 3 Months,Male,Scarf,Pennsylvania,Bank Transfer,Cash,Yes,Fall,Express,L,No,65,22,59,3.8
Accessories,Cluster 4,Brown,1082,Yes,Annually,Male,Belt,Idaho,Cash,Credit Card,Yes,Spring,Standard,XL,No,62,45,30,4.5
Accessories,Cluster 4,Cyan,1083,Yes,Quarterly,Male,Hat,South Carolina,PayPal,Venmo,Yes,Winter,Next Day Air,XL,No,54,30,85,2.6
Accessories,Cluster 4,Teal,1084,Yes,Weekly,Male,Backpack,Washington,Credit Card,Cash,Yes,Summer,Store Pickup,L,No,35,43,97,3.3
Clothing,Cluster 3,Purple,1085,Yes,Quarterly,Male,T-shirt,Arkansas,Credit Card,Cash,Yes,Fall,Next Day Air,S,No,34,48,36,4.1
Accessories,Cluster 4,Turquoise,1086,Yes,Fortnightly,Male,Jewelry,Utah,PayPal,Venmo,Yes,Winter,Store Pickup,M,No,25,23,85,3
Accessories,Cluster 4,Olive,1087,Yes,Bi-Weekly,Male,Sunglasses,Alaska,PayPal,PayPal,Yes,Winter,Free Shipping,M,No,53,27,62,3
Clothing,Cluster 3,White,1088,Yes,Monthly,Male,Jeans,West Virginia,PayPal,Bank Transfer,Yes,Winter,Next Day Air,S,No,45,7,71,3.4
Clothing,Cluster 3,Turquoise,1089,Yes,Weekly,Male,Pants,Louisiana,Bank Transfer,PayPal,Yes,Winter,Free Shipping,M,No,49,2,21,2.7
Accessories,Cluster 4,Silver,1090,Yes,Bi-Weekly,Male,Backpack,Arizona,Debit Card,PayPal,Yes,Spring,Next Day Air,M,No,40,33,61,3.8
Accessories,Cluster 4,Violet,1091,Yes,Fortnightly,Male,Scarf,Connecticut,Bank Transfer,Cash,Yes,Spring,Store Pickup,M,No,38,27,58,4.2
Clothing,Cluster 3,Lavender,1092,Yes,Fortnightly,Male,Sweater,North Carolina,Cash,Credit Card,Yes,Spring,Store Pickup,L,No,44,6,80,4.7
Accessories,Cluster 4,Magenta,1093,Yes,Quarterly,Male,Jewelry,South Dakota,Credit Card,Venmo,Yes,Spring,2-Day Shipping,L,No,68,20,50,4.1
Footwear,Cluster 1,Indigo,1094,Yes,Every 3 Months,Male,Sneakers,Delaware,PayPal,Venmo,Yes,Winter,2-Day Shipping,S,No,60,46,48,4.2
Accessories,Cluster 4,Black,1095,Yes,Quarterly,Male,Jewelry,Connecticut,Credit Card,Cash,Yes,Winter,Next Day Air,M,No,25,25,40,4.8
Outerwear,Cluster 2,Peach,1096,Yes,Quarterly,Male,Coat,Tennessee,Debit Card,Bank Transfer,Yes,Summer,Free Shipping,S,No,19,30,34,3
Outerwear,Cluster 2,Beige,1097,Yes,Annually,Male,Coat,New Hampshire,Credit Card,Credit Card,Yes,Fall,Standard,S,No,57,48,46,2.6
Accessories,Cluster 4,Black,1098,Yes,Weekly,Male,Sunglasses,Vermont,Venmo,Bank Transfer,Yes,Summer,Store Pickup,M,No,58,47,27,3.2
Accessories,Cluster 4,Turquoise,1099,Yes,Weekly,Male,Handbag,Idaho,PayPal,Credit Card,Yes,Spring,Next Day Air,S,No,49,27,98,3.6
Clothing,Cluster 3,Peach,1100,Yes,Fortnightly,Male,Sweater,North Carolina,Cash,Bank Transfer,Yes,Fall,Next Day Air,M,No,19,45,73,2.6
Clothing,Cluster 3,Gold,1101,Yes,Weekly,Male,Pants,Nevada,Debit Card,Credit Card,Yes,Spring,Express,L,No,50,2,28,4.4
Accessories,Cluster 4,Silver,1102,Yes,Fortnightly,Male,Gloves,Delaware,Cash,Cash,Yes,Fall,Free Shipping,XL,No,30,39,76,3
Clothing,Cluster 3,Peach,1103,Yes,Fortnightly,Male,Sweater,Texas,Credit Card,Cash,Yes,Fall,Express,M,No,52,24,83,2.9
Clothing,Cluster 3,Charcoal,1104,Yes,Bi-Weekly,Male,Hoodie,Tennessee,Debit Card,Debit Card,Yes,Spring,Free Shipping,S,No,35,8,23,4.3
Accessories,Cluster 4,Beige,1105,Yes,Quarterly,Male,Hat,Delaware,Bank Transfer,Bank Transfer,Yes,Fall,Express,M,No,35,8,28,3.1
Clothing,Cluster 3,Olive,1106,Yes,Every 3 Months,Male,T-shirt,Massachusetts,Credit Card,Venmo,Yes,Spring,Next Day Air,S,No,33,6,83,3
Clothing,Cluster 3,Violet,1107,Yes,Fortnightly,Male,Skirt,Minnesota,Credit Card,Venmo,Yes,Winter,Store Pickup,L,No,52,12,96,3.6
Footwear,Cluster 1,Peach,1108,Yes,Weekly,Male,Sneakers,Texas,Venmo,Bank Transfer,Yes,Fall,Store Pickup,M,No,69,26,62,2.8
Clothing,Cluster 3,Teal,1109,Yes,Fortnightly,Male,Shorts,Nebraska,Venmo,Cash,Yes,Fall,Standard,M,No,27,50,25,2.8
Clothing,Cluster 3,Violet,1110,Yes,Weekly,Male,Hoodie,Oklahoma,Debit Card,Venmo,Yes,Winter,Next Day Air,L,No,66,2,97,4.9
Clothing,Cluster 3,Cyan,1111,Yes,Bi-Weekly,Male,Hoodie,Texas,Debit Card,Cash,Yes,Fall,Standard,L,No,28,31,61,3
Footwear,Cluster 1,Olive,1112,Yes,Bi-Weekly,Male,Shoes,New York,Bank Transfer,Credit Card,Yes,Summer,Next Day Air,S,No,22,4,66,4.1
Clothing,Cluster 3,Pink,1113,Yes,Quarterly,Male,Hoodie,Washington,Credit Card,PayPal,Yes,Spring,Free Shipping,XL,No,69,32,67,4.6
Accessories,Cluster 4,Purple,1114,Yes,Bi-Weekly,Male,Sunglasses,Maryland,Cash,PayPal,Yes,Summer,Next Day Air,M,No,28,11,80,4.8
Clothing,Cluster 3,Violet,1115,Yes,Every 3 Months,Male,Skirt,New Hampshire,Cash,Bank Transfer,Yes,Fall,Next Day Air,L,No,55,47,25,2.6
